Entity,Code,Year,"Livestock Primary - Meat, cattle - 867 - Yield/Carcass Weight - 5417 - hg/An"
Albania,ALB,2012,136.8
Albania,ALB,2013,138
Albania,ALB,2014,124.2
Albania,ALB,2015,116.10000000000001
Albania,ALB,2016,118.80000000000001
Albania,ALB,2017,118.80000000000001
Albania,ALB,2018,149.5
Algeria,DZA,1961,115
Algeria,DZA,1962,116.7
Algeria,DZA,1963,123.60000000000001
Algeria,DZA,1964,114.4
Algeria,DZA,1965,117.5
Algeria,DZA,1966,110
Algeria,DZA,1967,108.5
Algeria,DZA,1968,111.7
Algeria,DZA,1969,112.30000000000001
Algeria,DZA,1970,115.10000000000001
Algeria,DZA,1971,117.10000000000001
Algeria,DZA,1972,115.9
Algeria,DZA,1973,113.10000000000001
Algeria,DZA,1974,106
Algeria,DZA,1975,114.80000000000001
Algeria,DZA,1976,112.7
Algeria,DZA,1977,115.9
Algeria,DZA,1978,128.9
Algeria,DZA,1979,124.4
Algeria,DZA,1980,123.80000000000001
Algeria,DZA,1981,123.10000000000001
Algeria,DZA,1982,123.10000000000001
Algeria,DZA,1983,124
Algeria,DZA,1984,130.1
Algeria,DZA,1985,140
Algeria,DZA,1986,144.9
Algeria,DZA,1987,152.9
Algeria,DZA,1988,152
Algeria,DZA,1989,152.1
Algeria,DZA,1990,153.3
Algeria,DZA,1991,159.8
Algeria,DZA,1992,160.8
Algeria,DZA,1993,161
Algeria,DZA,1994,163.60000000000002
Algeria,DZA,1995,178.10000000000002
Algeria,DZA,1996,168.3
Algeria,DZA,1997,179.9
Algeria,DZA,1998,183.3
Algeria,DZA,1999,180
Algeria,DZA,2000,197.9
Algeria,DZA,2001,183.20000000000002
Algeria,DZA,2002,193.3
Algeria,DZA,2003,194.8
Algeria,DZA,2004,193.8
Algeria,DZA,2005,193.5
Algeria,DZA,2006,194.60000000000002
Algeria,DZA,2007,195.20000000000002
Algeria,DZA,2008,195.3
Algeria,DZA,2009,194.8
Algeria,DZA,2010,185.5
Algeria,DZA,2011,179.10000000000002
Algeria,DZA,2012,193.8
Algeria,DZA,2013,184.10000000000002
Algeria,DZA,2014,182.5
Algeria,DZA,2015,189.8
Algeria,DZA,2016,207.9
Algeria,DZA,2017,231
Algeria,DZA,2018,222.4
American Samoa,ASM,1961,150
American Samoa,ASM,1962,150
American Samoa,ASM,1963,150
American Samoa,ASM,1964,150
American Samoa,ASM,1965,150
American Samoa,ASM,1966,150
American Samoa,ASM,1967,150
American Samoa,ASM,1968,150
American Samoa,ASM,1969,150
American Samoa,ASM,1970,150
American Samoa,ASM,1971,150
American Samoa,ASM,1972,150
American Samoa,ASM,1973,150
American Samoa,ASM,1974,150
American Samoa,ASM,1975,150
American Samoa,ASM,1976,150
American Samoa,ASM,1977,150
American Samoa,ASM,1978,150
American Samoa,ASM,1979,150
American Samoa,ASM,1980,150
American Samoa,ASM,1981,150
American Samoa,ASM,1982,150
American Samoa,ASM,1983,150
American Samoa,ASM,1984,150
American Samoa,ASM,1985,150
American Samoa,ASM,1986,150
American Samoa,ASM,1987,150
American Samoa,ASM,1988,150
American Samoa,ASM,1989,150
American Samoa,ASM,1990,150
American Samoa,ASM,1991,150
American Samoa,ASM,1992,150
American Samoa,ASM,1993,150
American Samoa,ASM,1994,150
American Samoa,ASM,1995,150
American Samoa,ASM,1996,150
American Samoa,ASM,1997,150
American Samoa,ASM,1998,150
American Samoa,ASM,1999,150
American Samoa,ASM,2000,150
American Samoa,ASM,2001,150
American Samoa,ASM,2002,150
American Samoa,ASM,2003,150
American Samoa,ASM,2004,150
American Samoa,ASM,2005,150
American Samoa,ASM,2006,150
American Samoa,ASM,2007,150
American Samoa,ASM,2008,150
American Samoa,ASM,2009,150
American Samoa,ASM,2010,150
American Samoa,ASM,2011,150
American Samoa,ASM,2012,150
American Samoa,ASM,2013,150
American Samoa,ASM,2014,150
American Samoa,ASM,2015,150
American Samoa,ASM,2016,150
American Samoa,ASM,2017,150
American Samoa,ASM,2018,150
Americas,,1961,203.60000000000002
Americas,,1962,201.20000000000002
Americas,,1963,207
Americas,,1964,209.70000000000002
Americas,,1965,206.10000000000002
Americas,,1966,211.5
Americas,,1967,214.10000000000002
Americas,,1968,215.10000000000002
Americas,,1969,218.9
Americas,,1970,223.4
Americas,,1971,225.70000000000002
Americas,,1972,230.70000000000002
Americas,,1973,234.70000000000002
Americas,,1974,231.8
Americas,,1975,216.3
Americas,,1976,220.3
Americas,,1977,216.60000000000002
Americas,,1978,219
Americas,,1979,223.5
Americas,,1980,226.70000000000002
Americas,,1981,225.3
Americas,,1982,223.10000000000002
Americas,,1983,227.60000000000002
Americas,,1984,225.9
Americas,,1985,229
Americas,,1986,229.9
Americas,,1987,232.3
Americas,,1988,235.20000000000002
Americas,,1989,233.20000000000002
Americas,,1990,235.9
Americas,,1991,233.20000000000002
Americas,,1992,239.20000000000002
Americas,,1993,238.3
Americas,,1994,240.70000000000002
Americas,,1995,249.70000000000002
Americas,,1996,252.3
Americas,,1997,250.4
Americas,,1998,248.5
Americas,,1999,248.8
Americas,,2000,251.60000000000002
Americas,,2001,252.3
Americas,,2002,250.5
Americas,,2003,252.60000000000002
Americas,,2004,257
Americas,,2005,252.70000000000002
Americas,,2006,250.70000000000002
Americas,,2007,254.4
Americas,,2008,256.2
Americas,,2009,258.2
Americas,,2010,259.7
Americas,,2011,260.2
Americas,,2012,260.6
Americas,,2013,260.5
Americas,,2014,269.40000000000003
Americas,,2015,268
Americas,,2016,273.5
Americas,,2017,273.40000000000003
Americas,,2018,275.6
Angola,AGO,1961,142.9
Angola,AGO,1962,139.9
Angola,AGO,1963,140
Angola,AGO,1964,144.6
Angola,AGO,1965,145.6
Angola,AGO,1966,147.4
Angola,AGO,1967,148.3
Angola,AGO,1968,152.4
Angola,AGO,1969,155.8
Angola,AGO,1970,160.8
Angola,AGO,1971,155.20000000000002
Angola,AGO,1972,150.9
Angola,AGO,1973,149.70000000000002
Angola,AGO,1974,149.70000000000002
Angola,AGO,1975,144.8
Angola,AGO,1976,157.10000000000002
Angola,AGO,1977,157.9
Angola,AGO,1978,155.4
Angola,AGO,1979,156.70000000000002
Angola,AGO,1980,150.9
Angola,AGO,1981,151.5
Angola,AGO,1982,151.8
Angola,AGO,1983,152.9
Angola,AGO,1984,151.4
Angola,AGO,1985,150
Angola,AGO,1986,146.20000000000002
Angola,AGO,1987,146.20000000000002
Angola,AGO,1988,142.5
Angola,AGO,1989,145
Angola,AGO,1990,147.5
Angola,AGO,1991,146.3
Angola,AGO,1992,171.9
Angola,AGO,1993,183
Angola,AGO,1994,180.60000000000002
Angola,AGO,1995,153.9
Angola,AGO,1996,177.5
Angola,AGO,1997,180.3
Angola,AGO,1998,180.9
Angola,AGO,1999,179.60000000000002
Angola,AGO,2000,195
Angola,AGO,2001,192
Angola,AGO,2002,193.20000000000002
Angola,AGO,2003,192.8
Angola,AGO,2004,170
Angola,AGO,2005,170
Angola,AGO,2006,170.4
Angola,AGO,2007,170
Angola,AGO,2008,170
Angola,AGO,2009,170
Angola,AGO,2010,170
Angola,AGO,2011,170
Angola,AGO,2012,170
Angola,AGO,2013,170
Angola,AGO,2014,169.3
Angola,AGO,2015,166
Angola,AGO,2016,163.70000000000002
Angola,AGO,2017,162.5
Angola,AGO,2018,161.20000000000002
Antigua and Barbuda,ATG,1961,181.20000000000002
Antigua and Barbuda,ATG,1962,180.60000000000002
Antigua and Barbuda,ATG,1963,181.20000000000002
Antigua and Barbuda,ATG,1964,181.70000000000002
Antigua and Barbuda,ATG,1965,180.8
Antigua and Barbuda,ATG,1966,182.10000000000002
Antigua and Barbuda,ATG,1967,182
Antigua and Barbuda,ATG,1968,182.10000000000002
Antigua and Barbuda,ATG,1969,181.60000000000002
Antigua and Barbuda,ATG,1970,181.8
Antigua and Barbuda,ATG,1971,181.9
Antigua and Barbuda,ATG,1972,181.8
Antigua and Barbuda,ATG,1973,181.9
Antigua and Barbuda,ATG,1974,181.8
Antigua and Barbuda,ATG,1975,181.60000000000002
Antigua and Barbuda,ATG,1976,181.9
Antigua and Barbuda,ATG,1977,181.20000000000002
Antigua and Barbuda,ATG,1978,171.9
Antigua and Barbuda,ATG,1979,171.10000000000002
Antigua and Barbuda,ATG,1980,172.5
Antigua and Barbuda,ATG,1981,205.60000000000002
Antigua and Barbuda,ATG,1982,190.3
Antigua and Barbuda,ATG,1983,170.20000000000002
Antigua and Barbuda,ATG,1984,182
Antigua and Barbuda,ATG,1985,188.10000000000002
Antigua and Barbuda,ATG,1986,187.5
Antigua and Barbuda,ATG,1987,187.5
Antigua and Barbuda,ATG,1988,187.5
Antigua and Barbuda,ATG,1989,180
Antigua and Barbuda,ATG,1990,185.70000000000002
Antigua and Barbuda,ATG,1991,189.70000000000002
Antigua and Barbuda,ATG,1992,189.70000000000002
Antigua and Barbuda,ATG,1993,189.70000000000002
Antigua and Barbuda,ATG,1994,189.70000000000002
Antigua and Barbuda,ATG,1995,189.3
Antigua and Barbuda,ATG,1996,185.20000000000002
Antigua and Barbuda,ATG,1997,184.60000000000002
Antigua and Barbuda,ATG,1998,184
Antigua and Barbuda,ATG,1999,184.3
Antigua and Barbuda,ATG,2000,188
Antigua and Barbuda,ATG,2001,188.70000000000002
Antigua and Barbuda,ATG,2002,188.9
Antigua and Barbuda,ATG,2003,189.10000000000002
Antigua and Barbuda,ATG,2004,185.70000000000002
Antigua and Barbuda,ATG,2005,185.70000000000002
Antigua and Barbuda,ATG,2006,185.70000000000002
Antigua and Barbuda,ATG,2007,185.70000000000002
Antigua and Barbuda,ATG,2008,186.70000000000002
Antigua and Barbuda,ATG,2009,186.70000000000002
Antigua and Barbuda,ATG,2010,186.60000000000002
Antigua and Barbuda,ATG,2011,186.70000000000002
Antigua and Barbuda,ATG,2012,186.60000000000002
Antigua and Barbuda,ATG,2013,186.70000000000002
Antigua and Barbuda,ATG,2014,198
Antigua and Barbuda,ATG,2015,199.60000000000002
Antigua and Barbuda,ATG,2016,187.5
Antigua and Barbuda,ATG,2017,187.5
Antigua and Barbuda,ATG,2018,336
Argentina,ARG,1961,210
Argentina,ARG,1962,201.8
Argentina,ARG,1963,201.5
Argentina,ARG,1964,215.60000000000002
Argentina,ARG,1965,218.4
Argentina,ARG,1966,209.5
Argentina,ARG,1967,201.4
Argentina,ARG,1968,200.10000000000002
Argentina,ARG,1969,208.60000000000002
Argentina,ARG,1970,203
Argentina,ARG,1971,211.3
Argentina,ARG,1972,218.9
Argentina,ARG,1973,218.8
Argentina,ARG,1974,213.8
Argentina,ARG,1975,200.8
Argentina,ARG,1976,202.70000000000002
Argentina,ARG,1977,197.60000000000002
Argentina,ARG,1978,196.5
Argentina,ARG,1979,198.4
Argentina,ARG,1980,205.3
Argentina,ARG,1981,200.60000000000002
Argentina,ARG,1982,206.3
Argentina,ARG,1983,214.9
Argentina,ARG,1984,209
Argentina,ARG,1985,202.70000000000002
Argentina,ARG,1986,208.70000000000002
Argentina,ARG,1987,205.3
Argentina,ARG,1988,211.3
Argentina,ARG,1989,209.60000000000002
Argentina,ARG,1990,224
Argentina,ARG,1991,211.20000000000002
Argentina,ARG,1992,217.10000000000002
Argentina,ARG,1993,212.5
Argentina,ARG,1994,210.8
Argentina,ARG,1995,209.10000000000002
Argentina,ARG,1996,208.60000000000002
Argentina,ARG,1997,212
Argentina,ARG,1998,218.9
Argentina,ARG,1999,223.9
Argentina,ARG,2000,219.20000000000002
Argentina,ARG,2001,212.4
Argentina,ARG,2002,216.8
Argentina,ARG,2003,212.5
Argentina,ARG,2004,211.5
Argentina,ARG,2005,219.70000000000002
Argentina,ARG,2006,226.10000000000002
Argentina,ARG,2007,215.60000000000002
Argentina,ARG,2008,213.60000000000002
Argentina,ARG,2009,210.5
Argentina,ARG,2010,221.3
Argentina,ARG,2011,230
Argentina,ARG,2012,227.10000000000002
Argentina,ARG,2013,223.5
Argentina,ARG,2014,221
Argentina,ARG,2015,224.3
Argentina,ARG,2016,225.60000000000002
Argentina,ARG,2017,225.5
Argentina,ARG,2018,227.9
Armenia,ARM,1992,133.70000000000002
Armenia,ARM,1993,132.20000000000002
Armenia,ARM,1994,134
Armenia,ARM,1995,138.8
Armenia,ARM,1996,132.4
Armenia,ARM,1997,133.8
Armenia,ARM,1998,130.70000000000002
Armenia,ARM,1999,124.9
Armenia,ARM,2000,117.9
Armenia,ARM,2001,126.60000000000001
Armenia,ARM,2002,108.5
Armenia,ARM,2003,108.80000000000001
Armenia,ARM,2004,119.30000000000001
Armenia,ARM,2005,118.60000000000001
Armenia,ARM,2006,115.4
Armenia,ARM,2007,111
Armenia,ARM,2008,113.30000000000001
Armenia,ARM,2009,113.10000000000001
Armenia,ARM,2010,107.9
Armenia,ARM,2011,105.2
Armenia,ARM,2012,106
Armenia,ARM,2013,105.10000000000001
Armenia,ARM,2014,112.5
Armenia,ARM,2015,105
Armenia,ARM,2016,120.10000000000001
Armenia,ARM,2017,131.5
Armenia,ARM,2018,139.3
Asia,,1961,97.9
Asia,,1962,98.2
Asia,,1963,99.5
Asia,,1964,101.4
Asia,,1965,100.5
Asia,,1966,98.5
Asia,,1967,98.80000000000001
Asia,,1968,99.7
Asia,,1969,100.30000000000001
Asia,,1970,101.10000000000001
Asia,,1971,103.30000000000001
Asia,,1972,105.30000000000001
Asia,,1973,105.2
Asia,,1974,108.2
Asia,,1975,108
Asia,,1976,107.4
Asia,,1977,109.5
Asia,,1978,110.30000000000001
Asia,,1979,109
Asia,,1980,113
Asia,,1981,114.10000000000001
Asia,,1982,113.60000000000001
Asia,,1983,114.10000000000001
Asia,,1984,122.30000000000001
Asia,,1985,124
Asia,,1986,124
Asia,,1987,127.80000000000001
Asia,,1988,129.4
Asia,,1989,131.4
Asia,,1990,136.8
Asia,,1991,142.9
Asia,,1992,152.1
Asia,,1993,154.70000000000002
Asia,,1994,145.8
Asia,,1995,147.1
Asia,,1996,147.6
Asia,,1997,146.1
Asia,,1998,145.8
Asia,,1999,152.3
Asia,,2000,150.20000000000002
Asia,,2001,146.5
Asia,,2002,149
Asia,,2003,145.6
Asia,,2004,146.20000000000002
Asia,,2005,144.9
Asia,,2006,147.1
Asia,,2007,149.8
Asia,,2008,149.4
Asia,,2009,155.9
Asia,,2010,157.5
Asia,,2011,157.5
Asia,,2012,159.70000000000002
Asia,,2013,161
Asia,,2014,160.8
Asia,,2015,163.10000000000002
Asia,,2016,163.20000000000002
Asia,,2017,163.8
Asia,,2018,167.3
"Asia, Central",,1992,185.20000000000002
"Asia, Central",,1993,188.10000000000002
"Asia, Central",,1994,172
"Asia, Central",,1995,168.3
"Asia, Central",,1996,164.3
"Asia, Central",,1997,164.8
"Asia, Central",,1998,163.60000000000002
"Asia, Central",,1999,173.8
"Asia, Central",,2000,171.3
"Asia, Central",,2001,173.8
"Asia, Central",,2002,180.8
"Asia, Central",,2003,179.8
"Asia, Central",,2004,171.20000000000002
"Asia, Central",,2005,172.9
"Asia, Central",,2006,172.10000000000002
"Asia, Central",,2007,172.70000000000002
"Asia, Central",,2008,172.10000000000002
"Asia, Central",,2009,171.4
"Asia, Central",,2010,172
"Asia, Central",,2011,161
"Asia, Central",,2012,168.3
"Asia, Central",,2013,168.70000000000002
"Asia, Central",,2014,170.8
"Asia, Central",,2015,174.20000000000002
"Asia, Central",,2016,175.60000000000002
"Asia, Central",,2017,170.60000000000002
"Asia, Central",,2018,169.70000000000002
Australia,AUS,1961,150.3
Australia,AUS,1962,157.20000000000002
Australia,AUS,1963,156.60000000000002
Australia,AUS,1964,155.60000000000002
Australia,AUS,1965,150
Australia,AUS,1966,149.70000000000002
Australia,AUS,1967,155.5
Australia,AUS,1968,159.9
Australia,AUS,1969,166.70000000000002
Australia,AUS,1970,172.3
Australia,AUS,1971,178.4
Australia,AUS,1972,181.4
Australia,AUS,1973,176.5
Australia,AUS,1974,182.20000000000002
Australia,AUS,1975,183.4
Australia,AUS,1976,173.4
Australia,AUS,1977,165.9
Australia,AUS,1978,168.4
Australia,AUS,1979,177.9
Australia,AUS,1980,176
Australia,AUS,1981,173.9
Australia,AUS,1982,181.4
Australia,AUS,1983,169.3
Australia,AUS,1984,183.9
Australia,AUS,1985,186.20000000000002
Australia,AUS,1986,187.10000000000002
Australia,AUS,1987,190.5
Australia,AUS,1988,195.8
Australia,AUS,1989,205.9
Australia,AUS,1990,211.20000000000002
Australia,AUS,1991,210.10000000000002
Australia,AUS,1992,205.5
Australia,AUS,1993,215.4
Australia,AUS,1994,220.3
Australia,AUS,1995,218.10000000000002
Australia,AUS,1996,219.9
Australia,AUS,1997,215.20000000000002
Australia,AUS,1998,209.8
Australia,AUS,1999,221
Australia,AUS,2000,229.8
Australia,AUS,2001,237.20000000000002
Australia,AUS,2002,230.9
Australia,AUS,2003,224.3
Australia,AUS,2004,240
Australia,AUS,2005,246.9
Australia,AUS,2006,247.10000000000002
Australia,AUS,2007,243.70000000000002
Australia,AUS,2008,247.10000000000002
Australia,AUS,2009,250.4
Australia,AUS,2010,257.3
Australia,AUS,2011,268.1
Australia,AUS,2012,269.8
Australia,AUS,2013,261.1
Australia,AUS,2014,262.2
Australia,AUS,2015,263.40000000000003
Australia,AUS,2016,263.3
Australia,AUS,2017,276
Australia,AUS,2018,280.40000000000003
Australia & New Zealand,,1961,133.8
Australia & New Zealand,,1962,140
Australia & New Zealand,,1963,141.6
Australia & New Zealand,,1964,141.3
Australia & New Zealand,,1965,140.9
Australia & New Zealand,,1966,143.9
Australia & New Zealand,,1967,145.70000000000002
Australia & New Zealand,,1968,148.6
Australia & New Zealand,,1969,151
Australia & New Zealand,,1970,155.3
Australia & New Zealand,,1971,164.5
Australia & New Zealand,,1972,170.3
Australia & New Zealand,,1973,167.70000000000002
Australia & New Zealand,,1974,167.8
Australia & New Zealand,,1975,171
Australia & New Zealand,,1976,170.4
Australia & New Zealand,,1977,163.70000000000002
Australia & New Zealand,,1978,165.3
Australia & New Zealand,,1979,173.8
Australia & New Zealand,,1980,173.60000000000002
Australia & New Zealand,,1981,171
Australia & New Zealand,,1982,175.3
Australia & New Zealand,,1983,168
Australia & New Zealand,,1984,179.5
Australia & New Zealand,,1985,182.4
Australia & New Zealand,,1986,181
Australia & New Zealand,,1987,185.9
Australia & New Zealand,,1988,191.3
Australia & New Zealand,,1989,196
Australia & New Zealand,,1990,202.5
Australia & New Zealand,,1991,203.3
Australia & New Zealand,,1992,201.3
Australia & New Zealand,,1993,207.4
Australia & New Zealand,,1994,213.3
Australia & New Zealand,,1995,210.5
Australia & New Zealand,,1996,203.60000000000002
Australia & New Zealand,,1997,200.60000000000002
Australia & New Zealand,,1998,197.5
Australia & New Zealand,,1999,202.70000000000002
Australia & New Zealand,,2000,211.70000000000002
Australia & New Zealand,,2001,221.8
Australia & New Zealand,,2002,213.8
Australia & New Zealand,,2003,207.8
Australia & New Zealand,,2004,216.9
Australia & New Zealand,,2005,222.8
Australia & New Zealand,,2006,225.60000000000002
Australia & New Zealand,,2007,222.5
Australia & New Zealand,,2008,224.4
Australia & New Zealand,,2009,222.4
Australia & New Zealand,,2010,228.8
Australia & New Zealand,,2011,231.70000000000002
Australia & New Zealand,,2012,233.10000000000002
Australia & New Zealand,,2013,228.4
Australia & New Zealand,,2014,227
Australia & New Zealand,,2015,224.70000000000002
Australia & New Zealand,,2016,220.4
Australia & New Zealand,,2017,227.9
Australia & New Zealand,,2018,235.70000000000002
Austria,AUT,1961,150.1
Austria,AUT,1962,151
Austria,AUT,1963,149.70000000000002
Austria,AUT,1964,156.4
Austria,AUT,1965,165.8
Austria,AUT,1966,171.5
Austria,AUT,1967,176.4
Austria,AUT,1968,178.4
Austria,AUT,1969,192.10000000000002
Austria,AUT,1970,202.8
Austria,AUT,1971,209.60000000000002
Austria,AUT,1972,219.9
Austria,AUT,1973,230.9
Austria,AUT,1974,230.8
Austria,AUT,1975,228.20000000000002
Austria,AUT,1976,230.9
Austria,AUT,1977,232.8
Austria,AUT,1978,244.10000000000002
Austria,AUT,1979,244.70000000000002
Austria,AUT,1980,258.2
Austria,AUT,1981,264.1
Austria,AUT,1982,264
Austria,AUT,1983,273.1
Austria,AUT,1984,274.90000000000003
Austria,AUT,1985,259.90000000000003
Austria,AUT,1986,266.1
Austria,AUT,1987,265.8
Austria,AUT,1988,265
Austria,AUT,1989,271.7
Austria,AUT,1990,271.1
Austria,AUT,1991,281.90000000000003
Austria,AUT,1992,287.3
Austria,AUT,1993,286.5
Austria,AUT,1994,286.7
Austria,AUT,1995,301.2
Austria,AUT,1996,289.2
Austria,AUT,1997,280
Austria,AUT,1998,287.40000000000003
Austria,AUT,1999,301.6
Austria,AUT,2000,303.1
Austria,AUT,2001,299.3
Austria,AUT,2002,299.5
Austria,AUT,2003,303.3
Austria,AUT,2004,305.8
Austria,AUT,2005,312.5
Austria,AUT,2006,317.1
Austria,AUT,2007,322.5
Austria,AUT,2008,324.5
Austria,AUT,2009,323.40000000000003
Austria,AUT,2010,322.70000000000005
Austria,AUT,2011,322.70000000000005
Austria,AUT,2012,326.8
Austria,AUT,2013,330.6
Austria,AUT,2014,330.20000000000005
Austria,AUT,2015,330.3
Austria,AUT,2016,332.6
Austria,AUT,2017,334.5
Austria,AUT,2018,336.70000000000005
Azerbaijan,AZE,1992,150.20000000000002
Azerbaijan,AZE,1993,148.70000000000002
Azerbaijan,AZE,1994,147.1
Azerbaijan,AZE,1995,147.70000000000002
Azerbaijan,AZE,1996,148.9
Azerbaijan,AZE,1997,152
Azerbaijan,AZE,1998,157.9
Azerbaijan,AZE,1999,156.4
Azerbaijan,AZE,2000,156.3
Azerbaijan,AZE,2001,159.60000000000002
Azerbaijan,AZE,2002,156.10000000000002
Azerbaijan,AZE,2003,153.1
Azerbaijan,AZE,2004,154.60000000000002
Azerbaijan,AZE,2005,150.4
Azerbaijan,AZE,2006,150.8
Azerbaijan,AZE,2007,146.3
Azerbaijan,AZE,2008,146.1
Azerbaijan,AZE,2009,111.5
Azerbaijan,AZE,2010,110
Azerbaijan,AZE,2011,110.4
Azerbaijan,AZE,2012,111.80000000000001
Azerbaijan,AZE,2013,111.80000000000001
Azerbaijan,AZE,2014,111.80000000000001
Azerbaijan,AZE,2015,111.80000000000001
Azerbaijan,AZE,2016,111.80000000000001
Azerbaijan,AZE,2017,111.80000000000001
Azerbaijan,AZE,2018,111.9
Bahamas,BHS,1961,170
Bahamas,BHS,1962,170
